threshold,learning_rate,batch_size,hidden_size,mIoU,avg_prediction_time
0.05,0.001,4,64,0.8004258275032043,0.0021189392134330015
0.05,0.001,4,128,0.7863366603851318,0.0022401522964499783
0.05,0.001,8,32,0.7452526092529297,0.0031608902678197746
0.05,0.001,8,64,0.7742019891738892,0.002929314579977586
0.05,0.001,8,128,0.7609269022941589,0.0031927184530319347
0.05,0.001,16,32,0.7280120849609375,0.00597745336527032
0.05,0.001,16,64,0.7251767516136169,0.006081126521697198
0.05,0.001,16,128,0.7183490812246192,0.006309151301926149
0.1,0.05,4,32,0.5685994712907786,0.002094387139245303
0.1,0.05,4,64,0.5587829562592848,0.0021186272882511596
0.1,0.05,4,128,0.5613044434208718,0.002283798883677224
0.1,0.05,8,32,0.5344115495681763,0.0032289108103982908
0.1,0.05,8,64,0.5596019810319207,0.0029479981163847897
0.1,0.05,8,128,0.5461236578979685,0.0032466382396464447
0.1,0.05,16,32,0.5639481332050563,0.005996222398719009
0.1,0.05,16,64,0.5382627844810486,0.0060273398463302034
0.1,0.05,16,128,0.7783578634262085,0.0061902186613388725
0.1,0.01,4,32,0.8418310284614563,0.002082460128183615
0.1,0.01,4,64,0.8739235560919432,0.0021661705942960245
0.1,0.01,4,128,0.8743268847465515,0.0022494584408862947
0.1,0.01,8,32,0.8510520458221436,0.0031284424028313195
0.1,0.01,8,64,0.857408344745636,0.0030280435050541736
0.1,0.01,8,128,0.8551894426345825,0.003129517371730971
0.1,0.01,16,32,0.8038337230682373,0.005916105414966105
0.1,0.01,16,64,0.8365283608436584,0.005995615578253832
0.1,0.01,16,128,0.8553063273429871,0.006269630120725048
0.1,0.005,4,32,0.7608343958854675,0.0020820065768050035
0.1,0.005,4,64,0.8394564986228943,0.0021313828560075676
0.1,0.005,4,128,0.8686794638633728,0.0022096470563126723
0.1,0.005,8,32,0.8196164965629578,0.0031594910357505865
0.1,0.005,8,64,0.8608958125114441,0.003054431506565639
0.1,0.005,8,128,0.8194067478179932,0.00325836905932635
0.1,0.005,16,32,0.7580435276031494,0.005992110199552931
0.1,0.005,16,64,0.7361555695533752,0.006190103970185661
0.1,0.005,16,128,0.8134511709213257,0.0064568783729486495
0.1,0.001,4,32,0.7817739844322205,0.0021122080591607717
0.1,0.001,4,64,0.792907178401947,0.002083240549348881
0.1,0.001,4,128,0.8143001794815063,0.0022530993636773558
0.1,0.001,8,32,0.6881916579914827,0.003122913594148597
0.1,0.001,8,64,0.7800283432006836,0.002948896877967234
0.1,0.001,8,128,0.7413367629051208,0.0031944110164141863
0.1,0.001,16,32,0.7228374481201172,0.006068409705648617
0.1,0.001,16,64,0.7235521674156189,0.006128008789640821
0.1,0.001,16,128,0.7333990335464478,0.006342351262840515
